type,stim1,textColor,key,condition1,condition2,feedback,stimFormat,ITI,button1,keyboard,random,title,content,head,responseType,responseOptions,responseOther
instructions,,,,,,,,,NEXT,,,Welcome to the experiment!,"In this experiment, you will choose the color of the word that you see.<p><p> Press the <strong>LEFT</strong> arrow key for a word in red, the <strong>UP</strong> arrow key for a word in blue, or the <strong>RIGHT</strong> arrow key for a word in green.<p><p> Respond as quickly and accurately as you can. Let's do some practice.",,,,
test,CAR,green,right,practice,,correct: That's correct! You responded in %RT% milliseconds; incorrect: That's incorrect. You responded in %RT% milliseconds.,word,800,,left up right,,,,,,,
test,SHOE,blue,up,practice,,correct: That's correct! You responded in %RT% milliseconds; incorrect: That's incorrect. You responded in %RT% milliseconds.,word,800,,left up right,,,,,,,
test,RED,red,left,practice,,correct: That's correct! You responded in %RT% milliseconds; incorrect: That's incorrect. You responded in %RT% milliseconds.,word,800,,left up right,,,,,,,
test,HOUSE,blue,up,practice,,correct: That's correct! You responded in %RT% milliseconds; incorrect: That's incorrect. You responded in %RT% milliseconds.,word,800,,left up right,,,,,,,
test,BLUE,green,right,practice,,correct: That's correct! You responded in %RT% milliseconds; incorrect: That's incorrect. You responded in %RT% milliseconds.,word,800,,left up right,,,,,,,
test,GREEN,red,left,practice,,correct: That's correct! You responded in %RT% milliseconds; incorrect: That's incorrect. You responded in %RT% milliseconds.,word,800,,left up right,,,,,,,
instructions,,,,,,,,,NEXT,,,Are you ready for the experiment?,"Remember: Press <strong>LEFT</strong> for red, <strong>UP</strong> for blue, and <strong>RIGHT</strong> for green.",,,,
test,RED,red,left,critical,congruent,,word,800,,left up right,1,,,,,,
test,RED,red,left,critical,congruent,,word,800,,left up right,1,,,,,,
test,RED,red,left,critical,congruent,,word,800,,left up right,1,,,,,,
test,RED,red,left,critical,congruent,,word,800,,left up right,1,,,,,,
test,BLUE,blue,up,critical,congruent,,word,800,,left up right,1,,,,,,
test,BLUE,blue,up,critical,congruent,,word,800,,left up right,1,,,,,,
test,BLUE,blue,up,critical,congruent,,word,800,,left up right,1,,,,,,
test,BLUE,blue,up,critical,congruent,,word,800,,left up right,1,,,,,,
test,GREEN,green,right,critical,congruent,,word,800,,left up right,1,,,,,,
test,GREEN,green,right,critical,congruent,,word,800,,left up right,1,,,,,,
test,GREEN,green,right,critical,congruent,,word,800,,left up right,1,,,,,,
test,GREEN,green,right,critical,congruent,,word,800,,left up right,1,,,,,,
test,RED,green,right,critical,incongruent,,word,800,,left up right,1,,,,,,
test,RED,blue,up,critical,incongruent,,word,800,,left up right,1,,,,,,
test,RED,green,right,critical,incongruent,,word,800,,left up right,1,,,,,,
test,RED,blue,up,critical,incongruent,,word,800,,left up right,1,,,,,,
test,BLUE,red,left,critical,incongruent,,word,800,,left up right,1,,,,,,
test,BLUE,green,right,critical,incongruent,,word,800,,left up right,1,,,,,,
test,BLUE,red,left,critical,incongruent,,word,800,,left up right,1,,,,,,
test,BLUE,green,right,critical,incongruent,,word,800,,left up right,1,,,,,,
test,GREEN,red,left,critical,incongruent,,word,800,,left up right,1,,,,,,
test,GREEN,blue,up,critical,incongruent,,word,800,,left up right,1,,,,,,
test,GREEN,red,left,critical,incongruent,,word,800,,left up right,1,,,,,,
test,GREEN,blue,up,critical,incongruent,,word,800,,left up right,1,,,,,,
test,CAR,red,left,filler,,,word,800,,left up right,1,,,,,,
test,CAR,green,right,filler,,,word,800,,left up right,1,,,,,,
test,CAR,blue,up,filler,,,word,800,,left up right,1,,,,,,
test,CAR,red,left,filler,,,word,800,,left up right,1,,,,,,
test,SHOE,blue,up,filler,,,word,800,,left up right,1,,,,,,
test,SHOE,red,left,filler,,,word,800,,left up right,1,,,,,,
test,SHOE,green,right,filler,,,word,800,,left up right,1,,,,,,
test,SHOE,blue,up,filler,,,word,800,,left up right,1,,,,,,
test,HOUSE,green,right,filler,,,word,800,,left up right,1,,,,,,
test,HOUSE,blue,up,filler,,,word,800,,left up right,1,,,,,,
test,HOUSE,red,left,filler,,,word,800,,left up right,1,,,,,,
test,HOUSE,green,right,filler,,,word,800,,left up right,1,,,,,,
,,,,,,,,,,,,,,,,,
test,RED,red,left,critical,congruent,,word,800,,left up right,2,,,,,,
test,RED,red,left,critical,congruent,,word,800,,left up right,2,,,,,,
test,RED,red,left,critical,congruent,,word,800,,left up right,2,,,,,,
test,RED,red,left,critical,congruent,,word,800,,left up right,2,,,,,,
test,BLUE,blue,up,critical,congruent,,word,800,,left up right,2,,,,,,
test,BLUE,blue,up,critical,congruent,,word,800,,left up right,2,,,,,,
test,BLUE,blue,up,critical,congruent,,word,800,,left up right,2,,,,,,
test,BLUE,blue,up,critical,congruent,,word,800,,left up right,2,,,,,,
test,GREEN,green,right,critical,congruent,,word,800,,left up right,2,,,,,,
test,GREEN,green,right,critical,congruent,,word,800,,left up right,2,,,,,,
test,GREEN,green,right,critical,congruent,,word,800,,left up right,2,,,,,,
test,GREEN,green,right,critical,congruent,,word,800,,left up right,2,,,,,,
test,RED,green,right,critical,incongruent,,word,800,,left up right,2,,,,,,
test,RED,blue,up,critical,incongruent,,word,800,,left up right,2,,,,,,
test,RED,green,right,critical,incongruent,,word,800,,left up right,2,,,,,,
test,RED,blue,up,critical,incongruent,,word,800,,left up right,2,,,,,,
test,BLUE,red,left,critical,incongruent,,word,800,,left up right,2,,,,,,
test,BLUE,green,right,critical,incongruent,,word,800,,left up right,2,,,,,,
test,BLUE,red,left,critical,incongruent,,word,800,,left up right,2,,,,,,
test,BLUE,green,right,critical,incongruent,,word,800,,left up right,2,,,,,,
test,GREEN,red,left,critical,incongruent,,word,800,,left up right,2,,,,,,
test,GREEN,blue,up,critical,incongruent,,word,800,,left up right,2,,,,,,
test,GREEN,red,left,critical,incongruent,,word,800,,left up right,2,,,,,,
test,GREEN,blue,up,critical,incongruent,,word,800,,left up right,2,,,,,,
test,CAR,red,left,filler,,,word,800,,left up right,2,,,,,,
test,CAR,green,right,filler,,,word,800,,left up right,2,,,,,,
test,CAR,blue,up,filler,,,word,800,,left up right,2,,,,,,
test,CAR,red,left,filler,,,word,800,,left up right,2,,,,,,
test,SHOE,blue,up,filler,,,word,800,,left up right,2,,,,,,
test,SHOE,red,left,filler,,,word,800,,left up right,2,,,,,,
test,SHOE,green,right,filler,,,word,800,,left up right,2,,,,,,
test,SHOE,blue,up,filler,,,word,800,,left up right,2,,,,,,
test,HOUSE,green,right,filler,,,word,800,,left up right,2,,,,,,
test,HOUSE,blue,up,filler,,,word,800,,left up right,2,,,,,,
test,HOUSE,red,left,filler,,,word,800,,left up right,2,,,,,,
test,HOUSE,green,right,filler,,,word,800,,left up right,2,,,,,,
form,,,,,,,,,,,,,,Is English your first language?,radio,Yes,No. My first language is:
form,,,,,,,,,,,,,,How would you rate your English proficiency:,radio,Native; Advanced; Intermediate; Beginner,
form,,,,,,,,,,,,,,Do you currently reside in an English-speaking country?,radio,Yes; No,